writer
Alexander Black
Charles Tait
Nripendrakrishna Chatterjee
"Leo Katcher, Leo Katcher"
"Michael V. Gazzo, Michael V. Gazzo"
"John Lee Mahin, John Huston"
"Oscar Saul, Dean Riesner"
"Richard H. Landau, Richard H. Landau"
"Charles A. Lockwood, Hans Christian Adamson"
"André De Toth, John Hawkins"
"Elisabeth Ogilvie, Neil Paterson"
"Buckley Angell, Buckley Angell"
"Herbert O. Phillips, Hugo Haas"
Dan Pepper
"René Barjavel, James Hadley Chase"
"Morton S. Fine, David Friedkin"
"Jack Finney, Don Mankiewicz"
"Didier Daix, John Paxton"
"Herman Cohen, Aben Kandel"
"Herman Cohen, Aben Kandel"
"Richard Matheson, Richard Matheson"
"Daniel Fuchs, Franklin Coen"
"Robert J. Gurney Jr., Al Martin"
"Cyril Hume, Edmund Cooper"
Seeleg Lester
"Alfred Hayes, Alec Waugh"
"Barbara Gray, Seton I. Miller"
"Guy Trosper, Nedrick Young"
"Leonard Kantor, Milton Subotsky"
"Daniel Fuchs, Sonya Levien"
Jules Furthman
"Sy Gomberg, Jack Sher"
"William Talman, Norman Jolley"
"Thomas W. Blackburn, Esther Forbes"
"Ben Ames Williams, Charles O'Neil"
"Oscar Saul, Art Cohn"
"Luis García Berlanga, Luis García Berlanga"
"Peter Cusick, Alfred Shaughnessy"
"Jerzy Stefan Stawinski, Jerzy Stefan Stawinski"
"Everett Freeman, Everett Freeman"
"Herb Margolis, William Raynor"
Paul Erickson
"Robert Falconer, Paddy Manning O'Brine"
"Julius J. Epstein, Luther Davis"
"Pyotr Ershov, Evgeniy Pomeshchikov"
"Lawrence L. Goldman, Irving Block"
"Kazuo Funahashi, Matsutarô Kawaguchi"
"Hideo Oguni, Shinobu Hashimoto"
"Ritva Arvelo, Juha Nevalainen"
"László Görög, William N. Robson"
"Daniel B. Ullman, David T. Chantler"
"Robert Presnell Jr., Ben Hecht"
"John Patrick, Vera Caspary"
"Diana Morgan, Dorothy Cooper"
"Viktor Rozov, Viktor Rozov"
"André Roussin, Nancy Mitford"
Albert Lewin
"Mel Dinelli, Shirley Jackson"
"Harry Essex, Robert Smith"
"Ken Hughes, Mervyn Mills"
"Edward Bernds, Elwood Ullman"
"Billy Wilder, I.A.L. Diamond"
"Herbert Baker, Hal Kanter"
"Kingsley Amis, Patrick Campbell"
"Ritwik Ghatak, Rajinder Singh Bedi"
"Georges Simenon, Jean Delannoy"
"Norman Hudis, Jan Read"
"Guillermo Calderón, Alfredo Salazar"
Bernard Gordon
William Grote
"Anthony Armstrong, Guy Morgan"
Gene L. Coon
"Ralph Wheelwright, R. Wright Campbell"
"Ranald MacDougall, Malvin Wald"
"Rodolfo Sonego, Alberto Sordi"
"Lloyd Young, H. Kenn Carmichael"
"Ennio De Concini, Luigi Emmanuele"
"Philip Yordan, Ben Maddow"
"Edwin Blum, Edwin Blum"
"Jacques Lagrange, Jean L'Hôte"
Emeric Pressburger
"Michel Audiard, René Barjavel"
"Blake Edwards, Leo Rosten"
"Guillermo Calderón, Alfredo Salazar"
"Guillermo Calderón, Alfredo Salazar"
"Ivan Bunny, Paul Dudley"
"Norman Jolley, Robert M. Fresco"
"Gábor Vaszary, Willibald Eser"
"David Duncan, Pat Fielder"
"Louis Vittes, Endre Bohem"
"Robert Hall, Wilfred Eades"
"Mickey Spillane, Richard Collins"
"Eric Hatch, Peter Berneis"
"Astrid Lindgren, Astrid Lindgren"
"Will Berthold, Werner Jörg Lüddecke"
"Michael Pertwee, Michael Pertwee"

"Akhtar Mirza, Akhtar Mirza"
Frantisek Cáp
"David Howarth, Arne Skouen"
"Borden Chase, Norman A. Fox"
"Charles Bennett, Hal E. Chester"
"Jack Natteford, Luci Ward"
"Philip Yordan, John McPartland"
"Remigio Del Grosso, Pasquale Festa Campanile"
"Charles B. Griffith, Mark Hanna"
"Victor Hugo, Jean Aurenche"
"Federico Fellini, Ennio Flaiano"
"Muriel Box, Sydney Box"
"Sophocles, E.F. Watling"

Daniel B. Ullman
"Fred Gipson, William Tunberg"
Barré Lyndon
"Howard Clewes, Kendal Burt"
A.R. Rawlinson
"Arthur Carter, Jed Harris"
"Richard Alan Simmons, Clifton Adams"
"Agenore Incrocci, Furio Scarpelli"
"George Abbott, Richard Bissell"
"Dorothy Kingsley, John O'Hara"
"Ettore Maria Margadonna, Marcello Girosi"
"Philip King, Falkland L. Cary"
"Oliver Drake, John Mantley"
"Stanley Kubrick, Calder Willingham"
"George Waggner, Louis Vittes"
"Nasir Hussain, Subodh Mukherji"
Armand Lohikoski
Reino Helismaa
Armand Lohikoski
"Antonio Guzmán Merino, Antonio Guzmán Merino"
"Ralph Wright, Winston Hibler"
"John Michael Hayes, Grace Metalious"
"John Paxton, A.J. Forrest"
"Steven Ritch, Steven Ritch"
"Rodoljub Andric, Soja Jovanovic"
"René Clair, René Fallet"
"Jaroslav Hasek, Karel Steklý"
"Émile Zola, Julien Duvivier"
"Edna Anhalt, Edward Anhalt"
"Abrar Alvi, François-Xavier Durandy"
"Jean Meckert, Jean Meckert"
"R. Wright Campbell, Ann Edwards"
"Nigel Kneale, Nigel Kneale"
"Lauran Paine, Eric Norden"
"Samuel Roeca, Tom Hubbard"
"Millard Kaufman, Ross Lockridge Jr."
Edward Bernds
Steve Fisher
"Jimmy Sangster, Hurford Janes"
Robert C. Dennis
Antony Ellis
Norman Retchin
"Frank O'Connor, Michael J. McHugh"
"Harold Jacob Smith, James Leicester"
"Rolf Boldrewood, Alexander Baron"
"Emil Burri, Friedrich Forster-Burggraf"
"Charles B. Griffith, David P. Harmon"
"Monja Danischewsky, Compton MacKenzie"
"Auguste Le Breton, Michel Audiard"
Samuel Fuller
Nelson Pereira dos Santos
"Edmund Beloin, Nate Monaster"
"Rod Serling, Thomas Thompson"
"Graham Greene, George Bernard Shaw"
"Paul Osborn, James A. Michener"
"Charlotte Hastings, Wolf Rilla"
"Franz Höllering, Ilse Lotz-Dupont"
"George K. Burke, J.M. Scott"
Lynette Perry
"Karl Tunberg, W. Somerset Maugham"
"Lou Rusoff, Lou Rusoff"
"Carroll Young, Kurt Neumann"
"Val Guest, Ian Hay"
"D'Arcy Niland, Neil Paterson"
"John Tucker Battle, D.D. Beauchamp"
"Graham Greene, Ted Berkman"
"Leonard Gershe, Leonard Spigelgass"
Ernst Marischka
"Ingmar Bergman, Ingmar Bergman"
"William J. Keating, Richard Carter"
"Wilfred Eades, Rex Frost"
"William Rose, John Eldridge"
Ingmar Bergman
"Hans Christian Andersen, Lev Atamanov"
"Richard Brooks, Robert C. Ruark"
"Arthur Miller, Jean-Paul Sartre"
"Leo Lieberman, Ed Waters"
"Fabio Carpi, Nelo Risi"
Elwood Ullman
"Robert Alan Aurthur, Elick Moll"
"Richard L. Breen, Walter Reisch"
"Charles Kaufman, Nicholas Monsarrat"
"Irwin Allen, Charles Bennett"
"Calder Willingham, Calder Willingham"
"Paul Ryder, Rene Ray"
"Clifford Odets, Ernest Lehman"
"Jon Iversen, Paul Sarauw"
"Christopher Knopf, Louis L'Amour"
"Burt Kennedy, Elmore Leonard"
"John Berry, Lee Gold"
"Oscar Brodney, Cid Ricketts Sumner"
"Richard Bernstein, George Waters"
"William Faulkner, George Zuckerman"
"Montgomery Pittman, Lillie Hayward"
George Zuckerman
Charles B. Griffith
Ray Buffum
Jerry Warren
Michael Cacoyannis
"László Vadnay, Art Cohn"
"Cornelia Baird Gross, Isobel Lennart"
"Philip Dunne, Anthony Lewis"
"Vicente Coello, Vicente Escrivá"
Lou Morheim
"Sergey Gerasimov, Mikhail Sholokhov"
"Henry Denker, Henry Denker"
"Arthur Hailey, Peter Rogers"
"Joel Kane, Dudley Nichols"
"Charles Lederer, Irwin Shaw"
"Manuel R. Ojeda, Carlos Orellana"
"Kôgo Noda, Yasujirô Ozu"
"John P. Marquand, Roland Kibbee"
"Henri Decoin, Albert Simonin"
"Michael McCarthy, Michael McCarthy"
"Jack Schaefer, David Victor"
"Walter Newman, Nunnally Johnson"
"Nasir Hussain, Nasir Hussain"
Leonid Karasyov
"Charles B. Griffith, Mark Hanna"
"François Boyer, François Boyer"
"Annette Wademant, Jean Aurel"
"Jane Mann, John D.F. Black"
"Jonathan Latimer, William Durkee"
Kenneth Higgins
"John C. Higgins, Stephen Longstreet"
"Robert Anderson, James A. Michener"
"Pietro Germi, Alfredo Giannetti"
"Bert Lawrence, Jack Townley"
"Louis L'Amour, Robert E. Kent"
"Emmett Murphy, Laurence Heath"
"Pat Fielder, Pat Fielder"
"Ramón Obón, Ramón Obón"
"Horst Biernath, Gustav Kampendonk"
Juan Antonio Bardem
"Manuel Pilares, Fernando Fernán Gómez"
"Julien Duvivier, Charles Dorat"
Richard H. Landau
"Russ Bender, V.I. Voss"
"Mikhail Papava, Yevgeni Vorobyov"
Gerald Drayson Adams
"Ivan Moffat, John Steinbeck"
"Fred Freiberger, Hal E. Chester"
"Arnold Schulman, Arnold Schulman"
"Frank Tashlin, George Axelrod"
"Frank Fenton, William Wister Haines"
"Wilhelm Hauff, Curt Hanno Gutbrod"
"Agatha Christie, Billy Wilder"
"Rolf Becker, Alexandra Becker"
"Ted Willis, Ted Willis"
"Brandon Fleming, Brandon Fleming"
"Maxwell Anderson, Angus MacPhail"
"Hiroshi Inagaki, Takeshi Kimura"
"Lawrence Earl, Franklin Gollings"
"Richard Jessup, Richard Jessup"
Robert Dozier
"Yasunari Kawabata, Toshio Yasumi"
Richard Maibaum
"Arthur Hailey, Hall Bartlett"
"George H. Plympton, Bernard Gordon"
"Barbara Noack, Heinz Pauck"
"Ottavio Alessi, István Békeffy"
"Stig Cederholm, Lennart Palme"
"Antonio Mas Guindal, Jesús María de Arozamena"
Norman Hudis
Ken Kolb
"Ritwik Ghatak, Subodh Ghosh"
"William Dinner, William Morum"
"Robert A. Reeds, Robert W. Woods"
"Robert Wilder, Peter Berneis"
"Aurania Rouverol, Edward Everett Hutshing"
Susumu Saji
Philip Yordan
"Ettore Maria Margadonna, Dino Risi"
"Stanley Mann, Lenore J. Coffee"
Ingmar Bergman
"Saisei Murô, Mikio Naruse"
"Charles R. Marion, George W. George"
"Alec Coppel, Norman Jolley"
"Heinz G. Konsalik, Werner P. Zibaso"
"Roger Nimier, Louis Malle"
Mark Hanna
"George Worthing Yates, Bert I. Gordon"
"Betty Comden, Adolph Green"
"Mohamed Abu Youssef, Abdel Hai Adib"
"Leslie Bricusse, Frederic Raphael"
"Richard Collins, W.R. Burnett"
Orville H. Hampton
"Charles Grayson, Ellis St. Joseph"
"Shibram Chakraborty, Ritwik Ghatak"
"René Clément, Marguerite Duras"
"Jack Hanley, Eryk Wlodek"
Claude Chabrol
"John Rowan Wilson, John Hunter"
"Daniel Taradash, John Van Druten"
"James R. Webb, Sy Bartlett"
"Takeshi Kimura, Hideo Unagami"
"Kenneth R. Hayles, Robert S. Baker"
"Theodore Simonson, Kay Linaker"
"Jimmy Sangster, Jimmy Sangster"
"Sidney Gilliat, Frank Launder"
"Arthur Laurents, Françoise Sagan"
Stanley Shpetner
"Richard H. Landau, Richard H. Landau"
Gordon Urquhart
"Philip Yordan, Frank O'Rourke"
"Adrian Weiss, Edward D. Wood Jr."
"Julius J. Epstein, Philip G. Epstein"
"Harold Lamb, Jesse Lasky Jr."
"Charles Lang, Jonas Ward"
Adele Buffington
"Jon Manchip White, Val Guest"
"Patrick Cargill, Jack Beale"
"R.F. Delderfield, Norman Hudis"
"R.J. Minney, Vernon Harris"
"Ed Reid, Daniel B. Ullman"
"Richard Brooks, James Poe"
"Endre Bohem, Eric Norden"
"Frances Goodrich, Albert Hackett"
"Pier Paolo Pasolini, Pier Paolo Pasolini"
"Henri Decoin, Jacques Rémy"
"Pedro Masó, Rafael J. Salvia"
"Kitty Buhler, James Benson Nablo"
"Arthur Schnitzler, Pierre Gaspard-Huit"
"Tengiz Abuladze, Rezo Japaridze"
"Daniel Mainwaring, Clifton Adams"
"Thelma Schnee, Willis Goldbeck"
Richard C. Sarafian
"Evan Hunter, Henry Kane"
"David Pursall, Jack Seddon"
"Frank Harris, Edmund H. North"
Fred Freiberger
"Leo Gordon, Leo Gordon"
Andrew L. Stone
"Elizabeth Coxhead, Vernon Harris"
"José Bolaños, Ricardo Garibay"
Jerome Bixby
Ion Luca Caragiale
"Shin'ichi Sekizawa, Ken Kuronuma"
"Folke Mellvig, Lars Widding"
"George Abbott, George Abbott"
"Guy Trosper, James J. Altieri"
"John W. Cunningham, Lawrence Roman"
Andrew L. Stone
"Nedrick Young, Harold Jacob Smith"
"Suso Cecchi D'Amico, Suso Cecchi D'Amico"
"Robert Westerby, Sean Fielding"
"Irwin Shaw, Eugene O'Neill"
"Stanley Clements, Laura Jean Mathews"
"Ali Esserkami, Youssef Essiabi"
"Yevgeni Dolmatovsky, Yevgeni Dolmatovsky"
Jean Scott Rogers
"Yuri German, Iosif Kheifits"
"Hugo Claus, Antoon Coolen"
"Jimmy Sangster, Bram Stoker"
"Trevor Dudley Smith, Ewan Butler"
"Jacques Robert, Jacques Robert"
"Kåre Bergstrøm, André Bjerke"
"László Görög, George Worthing Yates"
"George Hurdalek, George Hurdalek"
"Charles Eric Maine, Charles Eric Maine"
"Jean Aurenche, Pierre Bost"
"James Leicester, Herman Melville"
"Keiji Hasebe, Kon Ichikawa"
"Damiano Damiani, Tullio Pinelli"
"Friedrich Dürrenmatt, Friedrich Dürrenmatt"
"Leo Gordon, Fred Hartsook"
"Tadeusz Chmielewski, Andrzej Czekalski"
"Jan Blokker, Bert Haanstra"
"Engholm, Hast"
"Jean Redon, Claude Sautet"
"Elliot West, Chris Appley"
"Julien Duvivier, Marcel Achard"
"Hans Christian Andersen, Margot Beichler"
"Harry Brown, Philip Yordan"
"Pat Fielder, George Worthing Yates"
"James Clavell, George Langelaan"
Maurice Tombragel
"George W. George, Burt Kennedy"
Martin Goldsmith
"Richard H. Landau, Charles A. Moses"
H.E. Barrie
"Robert Buckner, Wendell Mayes"
"Jules Verne, Robert Blees"
"James McGivern, Leo Townsend"
Göran Gentele
"Tatsuto Okada, Nobuyoshi Terada"
"Louis Vittes, Ovid Demaris"
"Frank Tashlin, Frank Tashlin"
"Frank Hart Taussig, Ralph Brooke"
"T.E.B. Clarke, John Creasey"
"Luther Davis, Nelia Gardner White"
"Alan Jay Lerner, Colette"
"Alan Friedman, Alan Friedman"
Gary Alexander
"Philip Yordan, Erskine Caldwell"
Paddy Chayefsky
"Daniel B. Ullman, Maurice Zimm"
"Denys de La Patellière, Michel Audiard"
Curt J. Braun
Ramón Obón
"Stanley H. Silverman, Mark Stevens"
"Ernest Hemingway, Daniel Mainwaring"
"Daniel B. Ullman, Martin Goldsmith"
"Frank S. Nugent, Ric Hardman"
"Paul Leslie Peil, Robert L. Joseph"
"Janet Green, Nina Warner Hooks"
"Zvonimir Berkovic, Zvonimir Berkovic"
"Shin Uehara, Taiji Yabushita"
"Hans Jacoby, Hans Jacoby"
"Morton S. Fine, David Friedkin"
"Sydney Boehm, David Walker"
"Shinji Fujiwara, Shôhei Imamura"
"John Croydon, Jan Read"
"Werner P. Zibaso, Toni Impekoven"
"Eberhard Keindorff, George Bernard Shaw"
"John Kruse, Cy Endfield"
"Ken Englund, Herbert Sargent"
"Ton Satomi, Yasujirô Ozu"
"Alford Van Ronkel, Milo O. Frank Jr."
"Robert Blees, Robert Blees"
"Mark Lowell, Jan Englund"
"Alfredo Salazar, Raúl Zenteno"
"Eileen Bassing, Robert Bassing"
Orville H. Hampton
"Joyce Cary, Alec Guinness"
Lou Rusoff
"Lonnie Coleman, James Poe"
Robb White
"Aben Kandel, Herman Cohen"
"Ranjan Bose, Ranjan Bose"
"Frank Dimen, Heinz Schröter"
"Wendell Mayes, James Salter"
Sándor Tatay
"Nicholas Halasz, Gore Vidal"
"Louis Garfinkle, Louis Garfinkle"
Louis Vittes
Goodman Ace
"Nelson Gidding, Don Mankiewicz"
"Bryan Forbes, M.E. Clifton James"
"Joseph Hilton Smyth, Steve Fisher"
"Fyodor Dostoevsky, Ivan Pyrev"
"William Bowers, William Chamberlain"
"Wolf Neumeister, Hans-Joachim Kulenkampff"
"Edward Anhalt, Anton Myrer"
"Al Martin, Al Martin"
"Norman Krasna, Norman Krasna"
"Isobel Lennart, Alan Burgess"
"Rumer Godden, Neil Paterson"
"Jimmy Sangster, Brian Moore"
"George Bellak, Ruth Jeffries"
Jerome Bixby
Giorgi Mdivani
Sergei M. Eisenstein
"Shinobu Hashimoto, Tsutou Wada"
"Tarashankar Banerjee, Satyajit Ray"
"Hasse Ekman, Gösta Stevens"
"Orville H. Hampton, Mark Hanna"
"Fyodor Dostoevsky, Jean Aurenche"
"A.J. Cronin, G.R. Kamath"
"Ryuta Akimoto, Seichô Matsumoto"
"Ryûzô Kikushima, Hideo Oguni"
"Jack Sher, Sy Gomberg"
"Jan de Hartog, Carl Foreman"
"Herbert Baker, Michael V. Gazzo"
"Joe David Brown, Merle Miller"
Yevgeny Gabrilovich
"Takeshi Kaikô, Yoshio Shirasaka"
"Luigi Zampa, Pasquale Festa Campanile"
"Danny Arnold, Edmund H. North"
"Albert Sidney Fleischman, William A. Wellman"
Lou Morheim
"Frank S. Nugent, Edwin O'Connor"
David P. Harmon
"Denys Roberts, T.E.B. Clarke"
"William Bowers, Marvin H. Albert"
"Leslie Stevens, Gore Vidal"
"Jacques Emmanuel, Jean-Charles Tacchella"
"Roger Vailland, Jules Dassin"
Hal Hackady
"Val Guest, Len Heath"
"Conrad Richter, Lawrence Edward Watkin"
Stirling Silliphant
Dorrell McGowan
"Robert Schaefer, Eric Freiwald"
"William Faulkner, Irving Ravetch"
"John Osborne, Nigel Kneale"
"John McPartland, Jerome Bixby"
"Robb White, Anthony Boucher"
R. Wright Campbell
"Norman Corwin, Giorgio Prosperi"
"David Shaw, M.E. Chaber"
"Alun Falconer, Robert Dunbar"
Richard C. Sarafian
"Stanley Jackson, Edgar Lustgarten"
George Waggner
"Will C. Brown, Reginald Rose"
"Folke Mellvig, Lars Widding"
"Curtis Harrington, Hal Kanter"
"Everett Freeman, Herman Wouk"
"Thornton Wilder, John Michael Hayes"
"S.N. Behrman, George Froeschel"
"Isobel Lennart, I.A.L. Diamond"
Yorgos Tzavellas
"André Cayatte, Jean Meckert"
"Djordje Abadzijev, Marion Michelle"
"John Burress, Norman S. Hall"
Ramón Obón
"Terry Bishop, Robert Dunbar"
Jean Rouch
Montgomery Pittman
H. Haile Chace
David Duncan
"Virgilio Sabel, Marcello Coscia"
"Hiroshi Inagaki, Mansaku Itami"
Ben Simcoe
Robert C. Dennis
"Jo Herbst, Erich Kuby"
"Christa Winsloe, Friedrich Dammann"
"Denis Sanders, Terry Sanders"
"Shichirô Fukazawa, Keisuke Kinoshita"
"Will Tremper, Will Tremper"
"Julio Alejandro, Luis Buñuel"
"Francesco Thellung, Francesco De Feo"
"Isa Mari, Suso Cecchi D'Amico"
"Richard Day, Harold Robbins"
"Alphonse Allais, Jacques Celhay"
"Gene Corman, Martin Varno"
"Walter Lord, Eric Ambler"
Shôhei Imamura
"John Lee Mahin, Ira Levin"
Ted Willis
"Donald MacKenzie, Seth Holt"
"Tôkô Kon, Toshiro Suzuki"
Ulla Isaksson
"Ernest Hemingway, Peter Viertel"
"Nelson Gidding, Weldon Hill"
"Donald Downes, George St. George"
"Aleksander Ford, Marek Hlasko"
Tadeusz Konwicki
"Rajshekhar 'Parashuram' Basu, Satyajit Ray"
"Bob Hope, Edmund Beloin"
"William Alland, Bernard Girard"
"George Wells, Leo Katcher"
"Curth Flatow, Eckart Hachfeld"
Armand Lohikoski
Stanley Shapiro
"Marek Hlasko, Wojciech Has"
"Rafael Azcona, Marco Ferreri"
Edward D. Wood Jr.
"Jerzy Andrzejewski, Jerzy Andrzejewski"
"Stanislaw Dygat, Wojciech Has"
"Joseph Petracca, Lillie Hayward"
Polly James
"Charles Beaumont, Ben Hecht"
"Graham Greene, Joseph L. Mankiewicz"
"Sergio Amidei, Edoardo Anton"
"Paul Andréota, Paul Andréota"
"Claude Binyon, Leo McCarey"
"Gian Paolo Callegari, Francesco De Feo"
"William Douglas-Home, William Douglas-Home"
"Edward Anhalt, Patricia Joudry"
"Michel Audiard, James Hadley Chase"
"Pat Fielder, Pat Fielder"
"Les Savage Jr., Les Savage Jr."
"Borden Chase, George Bruce"
"Boris Lyapunov, Vasiliy Solovyov"
"Frank Tashlin, Preston Sturges"
"Catherine Cookson, Patrick Kirwan"
"Romain Gary, Romain Gary"
"John Gay, Edward L. Beach"
"Rhys Davies, Bruce Thomas"
"Lawrence L. Goldman, Irving Block"
"Fernando Osés, Enrique Zambrano"
"George Hurdalek, Carl Zuckmayer"
"Robert Blees, Fredric Brown"
John Kneubuhl
"John Kruse, Cy Endfield"
"Terence Rattigan, John Gay"
"Richard E. Cunha, H.E. Barrie"
"Robert Hill, Victor Stoloff"
"William Bowers, James Edward Grant"
"Howard Dimsdale, Jacob Hay"
Louis Vittes
"Thomas W. Blackburn, Houston Branch"
"Marshall Pugh, William Fairchild"
"Anne Geelhaar, Jacob Grimm"
Ken Hughes
"Peter Myers, Jimmy Sangster"
"Géza von Cziffra, Ferdinand Altenkirch"
"Marc Allégret, Gabriel Arout"
"Bob Ramsing, Henrik Sandberg"
"Agenore Incrocci, Furio Scarpelli"
"Omkar Dogra, Raj Khosla"
"James Jones, John Patrick"
"Paul Osborn, Richard Rodgers"
"Charles Kaufman, Joe Ansen"
"Tom Filer, Bernard C. Schoenfeld"
"George Worthing Yates, Daniel Mainwaring"
"Jack Davies, Henry Blyth"
"Ted Sherdeman, Robert Smith"
"Ruth Goetz, Augustus Goetz"
"Andrew J. Fenady, Irvin Kershner"
"Giuseppe De Santis, Maurizio Ferrara"
"Miguel M. Delgado, Miguel M. Delgado"
"Lou Rusoff, Orville H. Hampton"
"Lou Rusoff, Lou Rusoff"
"Imre Apáthi, Frigyes Bán"
"Jean Boyer, Jean Manse"
"Charles Dickens, T.E.B. Clarke"
"Richard Maibaum, Terence Young"
"Edgar Rice Burroughs, Thomas Hal Phillips"
"Jean Halain, Jean Halain"
"Fay Kanin, Michael Kanin"
R. Wright Campbell
"Alexander Pushkin, Ivo Perilli"
Ermanno Olmi
"Philip Dunne, John O'Hara"
Robert J. Gurney Jr.
"Dalton Trumbo, Ben Perry"
David Duncan
"Blake Edwards, F. Hugh Herbert"
"James Atlee Phillips, Walter Wise"
"Werner Jörg Lüddecke, Thea von Harbou"
"Orin Jannings, Erich Maria Remarque"
"Lewis R. Foster, Lillie Hayward"
"Christiane Rochefort, Jean Nery"
"Art Napoleon, Jo Napoleon"
"Richard Sale, William Wister Haines"
"Vittorio Metz, Roberto Gianviti"
"Diego Fabbri, Pasquale Festa Campanile"
"Lucio Fulci, Steno"
"Agenore Incrocci, Agenore Incrocci"
"Marcello Marchesi, Marcello Marchesi"
"Orson Welles, Whit Masterson"
Orville H. Hampton
"Herbert Reinecker, Maria von Trapp"
"Jack Popplewell, George Minter"
"Marcel Carné, Marcel Carné"
"Jimmy Sangster, Peter Key"
"John Kneubuhl, Pat Michaels"
"Muriel Box, Sydney Box"
"Peter De Vries, Joseph Fields"
"Ernest K. Gann, Ernest K. Gann"
"J. Alvin Kugelmass, Michael Wilson"
"Hervé Bazin, Jean-Pierre Mocky"
"J. Joachim Bartsch, Udo Wolter"
"Serge de Boissac, Serge de Boissac"
"Guy de Maupassant, Roland Laudenbach"
"Val Guest, Val Guest"
"Alice O'Fredericks, Jon Iversen"
"Erich Engels, Wolf Neumeister"
"Pasquale Festa Campanile, Massimo Franciosa"
Samuel Fuller
"Alec Coppel, Samuel A. Taylor"
"Sacha Guitry, Jean Martin"
"Calder Willingham, Dale Wasserman"
James Kennaway
"Richard H. Landau, Don Martin"
"Jesús María de Arozamena, Jesús María de Arozamena"
"Pat Jackson, Ring Lardner Jr."
"Frantisek Hrubín, Jules Verne"
Burt Topper
"Bert I. Gordon, George Worthing Yates"
"Irving Block, Lawrence L. Goldman"
"Morris Engel, Blanche Hanalis"
"Oscar Brodney, Ib Melchior"
"Jonathan Latimer, Philip Mackie"
"Paul King, Joseph Stone"
Cedric Rutherford
Budd Schulberg
"Richard Mason, Richard Mason"
"James Ramsey Ullman, Jill Craigie"
"Heinz Pauck, Günter Neumann"
"Nabendu Ghosh, Wajahat Mirza"
"Monzaemon Chikamatsu, Shinobu Hashimoto"
"Lowell S. Hawley, Johnston McCulley"
"Ladislas Fodor, Jacob Grimm"
"Per Lennart Ekström, Ragnar Frisk"
"Péter Bacsó, Zoltán Fábri"
William Bowers
"Czenzi Ormonde, Dick Shaw"
"André Gillois, Michel Audiard"
"Rowland Barber, Arthur A. Ross"
"Theodore Simonson, Cy Chermak"
"Leo Tolstoy, Gino De Santis"
Nagisa Ôshima
"Malvin Wald, Henry F. Greenberg"
"Robert St. Aubrey, Bert Lawrence"
"Orville H. Hampton, Orville H. Hampton"
"Ernesto Gastaldi, Ernesto Gastaldi"
Louise de Vilmorin
"Inder Raj Anand, Inder Raj Anand"
"Wendell Mayes, John D. Voelker"
"A.I. Bezzerides, Leon Uris"
"Ib Melchior, Sidney W. Pink"
"Pierre Boileau, Édouard Molinaro"
"Bibhutibhushan Bandyopadhyay, Satyajit Ray"
"Jean Gabin, Albert Valentin"
"Mario De Majo, Vinicio Gioli"
"Diego Fabbri, Maurice Leblanc"
"Hiroshi Inagaki, Edmond Rostand"
"Winifred Wolfe, George Wells"
Orville H. Hampton
"Agenore Incrocci, Furio Scarpelli"
"Michel Audiard, Jacques Emmanuel"
"Grigoriy Chukhray, Valentin Ezhov"
"John Gilling, Richard Maibaum"
"Crane Wilbur, Crane Wilbur"
"Alberto Barsanti, Raffaello Pacini"
"Daniel B. Ullman, Stephen Kandel"
"James Thurber, Monja Danischewsky"
"Marek Hlasko, Czeslaw Petelski"
"Charles B. Griffith, Charles B. Griffith"
"Richard Matheson, Lewis Meltzer"
"Robert Abel, Allen Adler"
"Sy Bartlett, Sheilah Graham"
